,,,,,,,,,,,,,
Block Load Profile Report From 01-May-2019 To 10-May-2019,,,,,,,,,,,,,
Consumer Number:,,Consumer Name:,,Substation Name:,ABCD,Feeder Name:,A1,Dtr Name:,DTR2,Meter Number:,,Contracted Load(kW):,3
S.No., Captured Date and Time,,,,,Active Energy(kWh),,Apparent Energy(kVAh),,Average Voltage(V),Average Current(A),Neutral Current(A),Status Byte
,,,,,,Import,Export,Import,Export,,,,
777,09-May-2019 02:00:00,,,,,0.023,0.000,0.030 ,0.000 ,248.000,0.480,0.000,-
778,09-May-2019 02:15:00,,,,,0.024,0.000,0.030 ,0.000 ,247.370,0.480,0.000,-
779,09-May-2019 02:30:00,,,,,0.038,0.000,0.054 ,0.000 ,247.530,0.870,0.000,-
780,09-May-2019 02:45:00,,,,,0.387,0.000,0.423 ,0.000 ,248.420,6.790,0.000,-
781,09-May-2019 03:00:00,,,,,0.518,0.000,0.546 ,0.000 ,248.140,8.790,0.000,-
782,09-May-2019 03:15:00,,,,,0.032,0.000,0.039 ,0.000 ,248.770,0.620,0.000,-
783,09-May-2019 03:30:00,,,,,0.024,0.000,0.032 ,0.000 ,250.000,0.510,0.000,-
784,09-May-2019 03:45:00,,,,,0.046,0.000,0.069 ,0.000 ,250.780,1.090,0.000,-
785,09-May-2019 04:00:00,,,,,0.039,0.000,0.061 ,0.000 ,251.790,0.960,0.000,-
786,09-May-2019 04:15:00,,,,,0.024,0.000,0.031 ,0.000 ,252.260,0.500,0.000,-
787,09-May-2019 04:30:00,,,,,0.025,0.000,0.032 ,0.000 ,252.090,0.500,0.000,-
788,09-May-2019 04:45:00,,,,,0.032,0.000,0.046 ,0.000 ,252.740,0.720,0.000,-
789,09-May-2019 05:00:00,,,,,0.045,0.000,0.070 ,0.000 ,253.000,1.100,0.000,-
790,09-May-2019 05:15:00,,,,,0.033,0.000,0.048 ,0.000 ,252.930,0.760,0.000,-
791,09-May-2019 05:30:00,,,,,0.023,0.000,0.032 ,0.000 ,252.670,0.500,0.000,-
792,09-May-2019 05:45:00,,,,,0.026,0.000,0.032 ,0.000 ,252.200,0.510,0.000,-
793,09-May-2019 06:00:00,,,,,0.042,0.000,0.065 ,0.000 ,253.140,1.010,0.000,-
794,09-May-2019 06:15:00,,,,,0.159,0.000,0.188 ,0.000 ,253.560,2.950,0.000,-
795,09-May-2019 06:30:00,,,,,0.049,0.000,0.051 ,0.000 ,253.310,0.790,0.000,-
796,09-May-2019 06:45:00,,,,,0.041,0.000,0.043 ,0.000 ,253.590,0.680,0.000,-
797,09-May-2019 07:00:00,,,,,0.233,0.000,0.243 ,0.000 ,253.190,3.840,0.000,-
798,09-May-2019 07:15:00,,,,,0.048,0.000,0.070 ,0.000 ,252.590,1.110,0.000,-
799,09-May-2019 07:30:00,,,,,0.044,0.000,0.051 ,0.000 ,252.070,0.800,0.000,-
800,09-May-2019 07:45:00,,,,,0.053,0.000,0.056 ,0.000 ,251.940,0.880,0.000,-
801,09-May-2019 08:00:00,,,,,0.051,0.000,0.063 ,0.000 ,252.050,0.980,0.000,-
802,09-May-2019 08:15:00,,,,,0.047,0.000,0.070 ,0.000 ,251.010,1.110,0.000,-
803,09-May-2019 08:30:00,,,,,0.343,0.000,0.351 ,0.000 ,249.640,5.630,0.000,-
804,09-May-2019 08:45:00,,,,,0.448,0.000,0.449 ,0.000 ,248.400,7.220,0.000,-
805,09-May-2019 09:00:00,,,,,0.023,0.000,0.034 ,0.000 ,248.140,0.530,0.000,-
806,09-May-2019 09:15:00,,,,,0.042,0.000,0.068 ,0.000 ,247.320,1.100,0.000,-
807,09-May-2019 09:30:00,,,,,0.021,0.000,0.033 ,0.000 ,245.870,0.540,0.000,-
808,09-May-2019 09:45:00,,,,,0.015,0.000,0.027 ,0.000 ,244.580,0.420,0.000,-
809,09-May-2019 10:00:00,,,,,0.013,0.000,0.025 ,0.000 ,244.330,0.410,0.000,-
810,09-May-2019 10:15:00,,,,,0.022,0.000,0.030 ,0.000 ,243.040,0.490,0.000,-
811,09-May-2019 10:30:00,,,,,0.019,0.000,0.027 ,0.000 ,243.350,0.440,0.000,-
812,09-May-2019 10:45:00,,,,,0.024,0.000,0.034 ,0.000 ,243.460,0.540,0.000,-
813,09-May-2019 11:00:00,,,,,0.027,0.000,0.039 ,0.000 ,243.960,0.640,0.000,-
814,09-May-2019 11:15:00,,,,,0.042,0.000,0.054 ,0.000 ,244.190,0.870,0.000,-
815,09-May-2019 11:30:00,,,,,0.039,0.000,0.051 ,0.000 ,243.290,0.830,0.000,-
816,09-May-2019 11:45:00,,,,,0.353,0.000,0.358 ,0.000 ,244.340,5.830,0.000,-
817,09-May-2019 12:00:00,,,,,0.026,0.000,0.035 ,0.000 ,243.900,0.580,0.000,-
818,09-May-2019 12:15:00,,,,,0.024,0.000,0.034 ,0.000 ,243.400,0.560,0.000,-
819,09-May-2019 12:30:00,,,,,0.020,0.000,0.031 ,0.000 ,243.330,0.500,0.000,-
820,09-May-2019 12:45:00,,,,,0.022,0.000,0.033 ,0.000 ,243.600,0.530,0.000,-
821,09-May-2019 13:00:00,,,,,0.023,0.000,0.033 ,0.000 ,245.620,0.540,0.000,-
822,09-May-2019 13:15:00,,,,,0.038,0.000,0.046 ,0.000 ,247.120,0.730,0.000,-
823,09-May-2019 13:30:00,,,,,0.045,0.000,0.049 ,0.000 ,246.790,0.790,0.000,-
824,09-May-2019 13:45:00,,,,,0.043,0.000,0.049 ,0.000 ,245.870,0.780,0.000,-
825,09-May-2019 14:00:00,,,,,0.058,0.000,0.061 ,0.000 ,244.280,1.000,0.000,-
826,09-May-2019 14:15:00,,,,,0.039,0.000,0.044 ,0.000 ,243.650,0.710,0.000,-
827,09-May-2019 14:30:00,,,,,0.038,0.000,0.041 ,0.000 ,241.140,0.680,0.000,-
828,09-May-2019 14:45:00,,,,,0.036,0.000,0.040 ,0.000 ,240.400,0.670,0.000,-
829,09-May-2019 15:00:00,,,,,0.036,0.000,0.040 ,0.000 ,240.290,0.650,0.000,-
830,09-May-2019 15:15:00,,,,,0.035,0.000,0.039 ,0.000 ,239.250,0.650,0.000,-
831,09-May-2019 15:30:00,,,,,0.035,0.000,0.039 ,0.000 ,239.740,0.650,0.000,-
832,09-May-2019 15:45:00,,,,,0.029,0.000,0.035 ,0.000 ,238.680,0.570,0.000,-
833,09-May-2019 16:00:00,,,,,0.022,0.000,0.031 ,0.000 ,239.550,0.510,0.000,-
834,09-May-2019 16:15:00,,,,,0.023,0.000,0.031 ,0.000 ,238.070,0.510,0.000,-
835,09-May-2019 16:30:00,,,,,0.018,0.000,0.028 ,0.000 ,238.000,0.470,0.000,-
836,09-May-2019 16:45:00,,,,,0.011,0.000,0.023 ,0.000 ,238.910,0.370,0.000,-
837,09-May-2019 17:00:00,,,,,0.010,0.000,0.023 ,0.000 ,238.910,0.370,0.000,-
838,09-May-2019 17:15:00,,,,,0.024,0.000,0.032 ,0.000 ,240.150,0.530,0.000,-
839,09-May-2019 17:30:00,,,,,0.066,0.000,0.078 ,0.000 ,241.010,1.300,0.000,-
840,09-May-2019 17:45:00,,,,,0.059,0.000,0.072 ,0.000 ,242.790,1.160,0.000,-
841,09-May-2019 18:00:00,,,,,0.061,0.000,0.073 ,0.000 ,244.160,1.190,0.000,-
842,09-May-2019 18:15:00,,,,,0.068,0.000,0.080 ,0.000 ,248.150,1.280,0.000,-
843,09-May-2019 18:30:00,,,,,0.081,0.000,0.095 ,0.000 ,248.640,1.530,0.000,-
844,09-May-2019 18:45:00,,,,,0.073,0.000,0.092 ,0.000 ,247.740,1.470,0.000,-
845,09-May-2019 19:00:00,,,,,0.055,0.000,0.072 ,0.000 ,246.210,1.160,0.000,-
846,09-May-2019 19:15:00,,,,,0.069,0.000,0.084 ,0.000 ,247.430,1.360,0.000,-
847,09-May-2019 19:30:00,,,,,0.071,0.000,0.087 ,0.000 ,247.340,1.390,0.000,-
848,09-May-2019 19:45:00,,,,,0.087,0.000,0.098 ,0.000 ,246.600,1.590,0.000,-
849,09-May-2019 20:00:00,,,,,0.069,0.000,0.086 ,0.000 ,247.730,1.380,0.000,-
850,09-May-2019 20:15:00,,,,,0.068,0.000,0.084 ,0.000 ,247.980,1.340,0.000,-
851,09-May-2019 20:30:00,,,,,0.071,0.000,0.086 ,0.000 ,246.860,1.400,0.000,-
852,09-May-2019 20:45:00,,,,,0.074,0.000,0.084 ,0.000 ,246.200,1.360,0.000,-
853,09-May-2019 21:00:00,,,,,0.219,0.000,0.238 ,0.000 ,245.920,3.870,0.000,-
854,09-May-2019 21:15:00,,,,,0.483,0.000,0.512 ,0.000 ,244.470,8.350,0.000,-
855,09-May-2019 21:30:00,,,,,0.351,0.000,0.377 ,0.000 ,244.580,6.160,0.000,-
856,09-May-2019 21:45:00,,,,,0.430,0.000,0.459 ,0.000 ,244.620,7.470,0.000,-
857,09-May-2019 22:00:00,,,,,0.293,0.000,0.316 ,0.000 ,243.670,5.190,0.000,-
858,09-May-2019 22:15:00,,,,,0.578,0.000,0.605 ,0.000 ,241.000,10.010,0.000,-
859,09-May-2019 22:30:00,,,,,0.463,0.000,0.486 ,0.000 ,240.050,8.080,0.000,-
860,09-May-2019 22:45:00,,,,,0.252,0.000,0.274 ,0.000 ,240.150,4.550,0.000,-
861,09-May-2019 23:00:00,,,,,0.335,0.000,0.355 ,0.000 ,238.480,5.950,0.000,-
862,09-May-2019 23:15:00,,,,,0.435,0.000,0.456 ,0.000 ,237.690,7.650,0.000,-
863,09-May-2019 23:30:00,,,,,0.398,0.000,0.419 ,0.000 ,238.770,7.000,0.000,-
864,09-May-2019 23:45:00,,,,,0.322,0.000,0.338 ,0.000 ,241.130,5.600,0.000,-
865,10-May-2019 00:00:00,,,,,0.345,0.000,0.366 ,0.000 ,240.490,6.070,0.000,-
866,10-May-2019 00:15:00,,,,,0.377,0.000,0.393 ,0.000 ,239.270,6.570,0.000,-
867,10-May-2019 00:30:00,,,,,0.348,0.000,0.371 ,0.000 ,241.670,6.120,0.000,-
868,10-May-2019 00:45:00,,,,,0.324,0.000,0.344 ,0.000 ,243.240,5.640,0.000,-
869,10-May-2019 01:00:00,,,,,0.199,0.000,0.220 ,0.000 ,243.480,3.620,0.000,-
870,10-May-2019 01:15:00,,,,,0.336,0.000,0.356 ,0.000 ,244.190,5.810,0.000,-
871,10-May-2019 01:30:00,,,,,0.347,0.000,0.372 ,0.000 ,244.300,6.080,0.000,-
872,10-May-2019 01:45:00,,,,,0.150,0.000,0.164 ,0.000 ,245.400,2.670,0.000,-
873,10-May-2019 02:00:00,,,,,0.042,0.000,0.063 ,0.000 ,245.890,1.020,0.000,-
874,10-May-2019 02:15:00,,,,,0.029,0.000,0.040 ,0.000 ,247.780,0.640,0.000,-
875,10-May-2019 02:30:00,,,,,0.392,0.000,0.424 ,0.000 ,248.540,6.810,0.000,-
876,10-May-2019 02:45:00,,,,,0.358,0.000,0.385 ,0.000 ,249.400,6.160,0.000,-
877,10-May-2019 03:00:00,,,,,0.394,0.000,0.423 ,0.000 ,249.460,6.760,0.000,-
878,10-May-2019 03:15:00,,,,,0.319,0.000,0.349 ,0.000 ,249.740,5.580,0.000,-
879,10-May-2019 03:30:00,,,,,0.411,0.000,0.442 ,0.000 ,250.580,7.030,0.000,-
880,10-May-2019 03:45:00,,,,,0.220,0.000,0.243 ,0.000 ,251.980,3.850,0.000,-
881,10-May-2019 04:00:00,,,,,0.037,0.000,0.056 ,0.000 ,251.150,0.880,0.000,-
882,10-May-2019 04:15:00,,,,,0.299,0.000,0.326 ,0.000 ,251.230,5.190,0.000,-
883,10-May-2019 04:30:00,,,,,0.257,0.000,0.284 ,0.000 ,251.280,4.510,0.000,-
884,10-May-2019 04:45:00,,,,,0.274,0.000,0.300 ,0.000 ,251.690,4.760,0.000,-
885,10-May-2019 05:00:00,,,,,0.279,0.000,0.303 ,0.000 ,251.280,4.820,0.000,-
886,10-May-2019 05:15:00,,,,,0.241,0.000,0.269 ,0.000 ,251.060,4.270,0.000,-
887,10-May-2019 05:30:00,,,,,0.031,0.000,0.045 ,0.000 ,251.560,0.710,0.000,-
888,10-May-2019 05:45:00,,,,,0.032,0.000,0.047 ,0.000 ,252.320,0.730,0.000,-
889,10-May-2019 06:00:00,,,,,0.081,0.000,0.101 ,0.000 ,252.100,1.600,0.000,-
890,10-May-2019 06:15:00,,,,,0.047,0.000,0.052 ,0.000 ,252.070,0.830,0.000,-
891,10-May-2019 06:30:00,,,,,0.320,0.000,0.326 ,0.000 ,250.220,5.190,0.000,-
892,10-May-2019 06:45:00,,,,,0.084,0.000,0.102 ,0.000 ,250.880,1.620,0.000,-
893,10-May-2019 07:00:00,,,,,0.043,0.000,0.063 ,0.000 ,251.010,0.990,0.000,-
894,10-May-2019 07:15:00,,,,,0.051,0.000,0.062 ,0.000 ,251.830,0.990,0.000,-
895,10-May-2019 07:30:00,,,,,0.049,0.000,0.058 ,0.000 ,252.270,0.910,0.000,-
896,10-May-2019 07:45:00,,,,,0.051,0.000,0.065 ,0.000 ,251.840,1.020,0.000,-
897,10-May-2019 08:00:00,,,,,0.045,0.000,0.058 ,0.000 ,251.380,0.920,0.000,-
898,10-May-2019 08:15:00,,,,,0.045,0.000,0.055 ,0.000 ,250.020,0.860,0.000,-
899,10-May-2019 08:30:00,,,,,0.057,0.000,0.073 ,0.000 ,248.570,1.160,0.000,-
900,10-May-2019 08:45:00,,,,,0.407,0.000,0.409 ,0.000 ,247.910,6.610,0.000,-
901,10-May-2019 09:00:00,,,,,0.304,0.000,0.313 ,0.000 ,247.150,5.060,0.000,-
902,10-May-2019 09:15:00,,,,,0.025,0.000,0.043 ,0.000 ,245.790,0.690,0.000,-
903,10-May-2019 09:30:00,,,,,0.032,0.000,0.057 ,0.000 ,244.400,0.910,0.000,-
904,10-May-2019 09:45:00,,,,,0.028,0.000,0.038 ,0.000 ,242.170,0.630,0.000,-
905,10-May-2019 10:00:00,,,,,0.025,0.000,0.038 ,0.000 ,241.680,0.620,0.000,-
906,10-May-2019 10:15:00,,,,,0.026,0.000,0.048 ,0.000 ,241.290,0.800,0.000,-
907,10-May-2019 10:30:00,,,,,0.020,0.000,0.038 ,0.000 ,240.960,0.620,0.000,-
908,10-May-2019 10:45:00,,,,,0.026,0.000,0.041 ,0.000 ,241.040,0.660,0.000,-
909,10-May-2019 11:00:00,,,,,0.038,0.000,0.060 ,0.000 ,241.080,0.990,0.000,-
910,10-May-2019 11:15:00,,,,,0.034,0.000,0.049 ,0.000 ,239.820,0.820,0.000,-
911,10-May-2019 11:30:00,,,,,0.038,0.000,0.059 ,0.000 ,241.770,0.960,0.000,-
912,10-May-2019 11:45:00,,,,,0.030,0.000,0.044 ,0.000 ,241.640,0.710,0.000,-
913,10-May-2019 12:00:00,,,,,0.042,0.000,0.064 ,0.000 ,241.360,1.070,0.000,-
914,10-May-2019 12:15:00,,,,,0.055,0.000,0.068 ,0.000 ,242.440,1.110,0.000,-
915,10-May-2019 12:30:00,,,,,0.053,0.000,0.073 ,0.000 ,243.500,1.190,0.000,-
916,10-May-2019 12:45:00,,,,,0.058,0.000,0.074 ,0.000 ,244.390,1.200,0.000,-
917,10-May-2019 13:00:00,,,,,0.054,0.000,0.069 ,0.000 ,244.560,1.130,0.000,-
918,10-May-2019 13:15:00,,,,,0.054,0.000,0.078 ,0.000 ,246.300,1.250,0.000,-
919,10-May-2019 13:30:00,,,,,0.028,0.000,0.041 ,0.000 ,246.630,0.660,0.000,-
920,10-May-2019 13:45:00,,,,,0.036,0.000,0.056 ,0.000 ,244.720,0.910,0.000,-
921,10-May-2019 14:00:00,,,,,0.042,0.000,0.058 ,0.000 ,243.830,0.950,0.000,-
922,10-May-2019 14:15:00,,,,,0.028,0.000,0.041 ,0.000 ,242.440,0.670,0.000,-
923,10-May-2019 14:30:00,,,,,0.045,0.000,0.068 ,0.000 ,241.050,1.110,0.000,-
924,10-May-2019 14:45:00,,,,,0.044,0.000,0.057 ,0.000 ,240.360,0.960,0.000,-
925,10-May-2019 15:00:00,,,,,0.048,0.000,0.065 ,0.000 ,239.410,1.080,0.000,-
926,10-May-2019 15:15:00,,,,,0.048,0.000,0.066 ,0.000 ,239.650,1.090,0.000,-
927,10-May-2019 15:30:00,,,,,0.039,0.000,0.052 ,0.000 ,239.190,0.860,0.000,-
928,10-May-2019 15:45:00,,,,,0.053,0.000,0.073 ,0.000 ,238.170,1.230,0.000,-
929,10-May-2019 16:00:00,,,,,0.043,0.000,0.066 ,0.000 ,239.240,1.080,0.000,-
930,10-May-2019 16:15:00,,,,,0.040,0.000,0.066 ,0.000 ,239.220,1.100,0.000,-
931,10-May-2019 16:30:00,,,,,0.019,0.000,0.035 ,0.000 ,241.010,0.570,0.000,-
932,10-May-2019 16:45:00,,,,,0.070,0.000,0.090 ,0.000 ,240.800,1.500,0.000,-
933,10-May-2019 17:00:00,,,,,0.040,0.000,0.057 ,0.000 ,242.430,0.930,0.000,-
934,10-May-2019 17:15:00,,,,,0.036,0.000,0.065 ,0.000 ,244.190,1.050,0.000,-
935,10-May-2019 17:30:00,,,,,0.060,0.000,0.083 ,0.000 ,245.010,1.360,0.000,-
936,10-May-2019 17:45:00,,,,,0.045,0.000,0.061 ,0.000 ,246.330,0.980,0.000,-
937,10-May-2019 18:00:00,,,,,0.081,0.000,0.098 ,0.000 ,248.400,1.580,0.000,-
938,10-May-2019 18:15:00,,,,,0.074,0.000,0.088 ,0.000 ,250.450,1.390,0.000,-
939,10-May-2019 18:30:00,,,,,0.082,0.000,0.101 ,0.000 ,250.950,1.600,0.000,-
940,10-May-2019 18:45:00,,,,,0.055,0.000,0.066 ,0.000 ,251.670,1.030,0.000,-
941,10-May-2019 19:00:00,,,,,0.070,0.000,0.088 ,0.000 ,251.730,1.400,0.000,-
942,10-May-2019 19:15:00,,,,,0.051,0.000,0.067 ,0.000 ,251.280,1.060,0.000,-
943,10-May-2019 19:30:00,,,,,0.053,0.000,0.070 ,0.000 ,251.360,1.110,0.000,-
944,10-May-2019 19:45:00,,,,,0.042,0.000,0.053 ,0.000 ,251.100,0.830,0.000,-
945,10-May-2019 20:00:00,,,,,0.054,0.000,0.073 ,0.000 ,250.390,1.170,0.000,-
946,10-May-2019 20:15:00,,,,,0.051,0.000,0.063 ,0.000 ,250.700,0.980,0.000,-
947,10-May-2019 20:30:00,,,,,0.070,0.000,0.088 ,0.000 ,250.700,1.410,0.000,-
948,10-May-2019 20:45:00,,,,,0.052,0.000,0.065 ,0.000 ,249.620,1.040,0.000,-
949,10-May-2019 21:00:00,,,,,0.060,0.000,0.079 ,0.000 ,249.350,1.260,0.000,-
950,10-May-2019 21:15:00,,,,,0.064,0.000,0.081 ,0.000 ,248.730,1.290,0.000,-
951,10-May-2019 21:30:00,,,,,0.071,0.000,0.084 ,0.000 ,248.520,1.340,0.000,-
952,10-May-2019 21:45:00,,,,,0.218,0.000,0.237 ,0.000 ,246.420,3.850,0.000,-
953,10-May-2019 22:00:00,,,,,0.323,0.000,0.350 ,0.000 ,245.990,5.680,0.000,-
954,10-May-2019 22:15:00,,,,,0.355,0.000,0.381 ,0.000 ,243.550,6.260,0.000,-
955,10-May-2019 22:30:00,,,,,0.398,0.000,0.414 ,0.000 ,241.900,6.830,0.000,-
956,10-May-2019 22:45:00,,,,,0.059,0.000,0.068 ,0.000 ,241.670,1.120,0.000,-
957,10-May-2019 23:00:00,,,,,0.054,0.000,0.063 ,0.000 ,241.660,1.020,0.000,-
958,10-May-2019 23:15:00,,,,,0.502,0.000,0.523 ,0.000 ,240.340,8.690,0.000,-
959,10-May-2019 23:30:00,,,,,0.437,0.000,0.459 ,0.000 ,240.020,7.640,0.000,-
960,10-May-2019 23:45:00,,,,,0.307,0.000,0.322 ,0.000 ,240.490,5.340,0.000,-
